game,source_row_key,cardmarket_product_id,cardmarket_name_raw,raw_match,parser,parser_version,confidence
digimon,195f82498ffded65181f712f1274a88df6eb679cf427f15c9c796900cb4f6d96,756192,Flaremon,EX5-012,digimon_catalogue_name,1.0.0,candidate_only
digimon,19f8ca07f72081392f22c16149b11426aa881c56d19b799ec81d50c7c3aa641c,851841,Examon,BT23-047,digimon_catalogue_name,1.0.0,candidate_only
digimon,1a5e02beb1fe12a97c42c660b83f397872190a8e33e6f603508bda0bb2340160,650207,Dorimon,BT7-005,digimon_catalogue_name,1.0.0,candidate_only
digimon,1a8df2eaeb973a43b46bdd2424c911fa98a59b9487674123e6584fc0bc97bd15,669344,Angewomon (X Antibody),BT9-040,digimon_catalogue_name,1.0.0,candidate_only
digimon,1aa279682722e857fea098eff9b21ee43fe9c48daa69f8d31a99cfb845bb4713,620816,EmperorGreymon,BT7-016,digimon_catalogue_name,1.0.0,candidate_only
digimon,1aa74c8363df2814e7e1ffb45504d157cc4e8026710fd46d58fd0079203b9c89,755699,WereGarurumon Ace,BT15-026,digimon_catalogue_name,1.0.0,candidate_only
digimon,1ac365e78e6e8d642d59a499ade5bac56ae817be083517d2ba7611ffce01ac57,854907,GraceNovamon,EX5-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,1adfa8e6bd0fc66d418e6d5d782ed27587c8d74c553e1ab998c283dbf7ea866e,828822,MetalGreymon: Alterous Mode,EX9-012,digimon_catalogue_name,1.0.0,candidate_only
digimon,1b865c40732a2b69c20a61b1f5249efd155f51da4034d38c8767f6c7427ee89f,696448,Mirei Mikagura,BT11-094,digimon_catalogue_name,1.0.0,candidate_only
digimon,1bb3822fc242e147f35ac88042e659070b30654d013e62b6cb27aa54067d8d4c,879426,Omnimon (X Antibody),BT20-102,digimon_catalogue_name,1.0.0,candidate_only
digimon,1c61212edef24eb0dc2616c11c2502d252907c03a51d53d616c49c847c1f51c9,817747,Gaiamon,BT21-101,digimon_catalogue_name,1.0.0,candidate_only
digimon,1c81af55d64ef00880be30b9c0996337b2a3112b1e18481f22d8cb7fca076bf1,860883,Renamon,ST22-02,digimon_catalogue_name,1.0.0,candidate_only
digimon,1cd8af7f6294c1c7fb1731e32c5aa661ff310b2413ecd8d8484605118357ae8b,873564,ShineGreymon,AD1-016,digimon_catalogue_name,1.0.0,candidate_only
digimon,1cff592cf0c75ea8ab5e6e8143cf7306351e605917641a53a88b39765d3a7566,744172,Commandramon,BT14-056,digimon_catalogue_name,1.0.0,candidate_only
digimon,1d1d5f199a5f68e9243f437512f7c3dea8435ff74cacb603d998d6d94c481b48,650391,Gaia Force,ST1-16,digimon_catalogue_name,1.0.0,candidate_only
digimon,1d77c54dd1a6d06ee1a082cff062b572f81c7a38e4c215ddda5a8a9f6b991b6b,769455,Valkyrimon Ace,BT16-013,digimon_catalogue_name,1.0.0,candidate_only
digimon,1db98b6487c17c693849ec8d11c33bcfe90d63b8017905a36b1a85f48ad4b827,665459,Calumon,EX2-045,digimon_catalogue_name,1.0.0,candidate_only
digimon,1dddd1718fe6589bf71d2e07f5f8e78e0cde98f5f8971a8419279b236463fcbc,650393,Cocytus Breath,ST2-16,digimon_catalogue_name,1.0.0,candidate_only
digimon,1de602e930db0e2166a44cdfd0990619e93cfbed8fd1175203bf3ac363eac65a,828833,Kaguyamon,EX9-033,digimon_catalogue_name,1.0.0,candidate_only
digimon,1e40061a303a1d1b203bc5274523b8c1ded0500489045246935ebc1c6e57a2b9,809480,Otamamon,EX7-015,digimon_catalogue_name,1.0.0,candidate_only
digimon,1e4d30bd9777bab062cc89769ce303a58688eeabfd74f09b2c601bfb4dc870b2,820307,Tai Kamiya,BT21-102,digimon_catalogue_name,1.0.0,candidate_only
digimon,1e74406d829e87c7bb245c787180c2596e0e867121865c2ebcdcef47b60ba201,756191,Togemon,BT14-046,digimon_catalogue_name,1.0.0,candidate_only
digimon,1ea656ebc85ebc84b00123581ce23230f9777cf560b9cc0ea7d39ecfad83012c,790590,Sakuyamon,BT17-038,digimon_catalogue_name,1.0.0,candidate_only
digimon,1ecf988460ebe3b8fc3de5d311d07d2da3d4b5f0718b7bfe138f23e9bb5c4512,790562,Digimon Emperor,BT8-094,digimon_catalogue_name,1.0.0,candidate_only
digimon,1f1ae43a7e9c0c1f5685c665ae2201cc174690ff90cf322fe23721a488543843,886294,ShineGreymon: Burst Mode / Final Shining Burst,BT25-104,digimon_catalogue_name,1.0.0,candidate_only
digimon,1f5c4ab2db75d493511e51174e129cb455ac2f08156bc83c26fe73127bdd0637,872850,Sakuyamon: Maid Mode,ST22-06,digimon_catalogue_name,1.0.0,candidate_only
