source_row_key,status,match_method,cardmarket_product_id,cardmarket_name,finish,provider_card_id,candidate_count,reason_code,evidence,cardmarket_url
75e68941ea046df6551534642e92b6f57f81638745e918a805c0f4bdbf0ca4e7,exact,direct_marketplace_id,496695,"Agadeem's Awakening // Agadeem, the Undercrypt",foil,499c2b20-e83e-40ff-919e-1d134ad50c0a,1,,cardmarket_id=496695,https://www.cardmarket.com/en/Magic/Products?idProduct=496695&isFoil=Y
75e6e3ea976a597b4d075e0294210697177436aa26e301b7ed2ab56bfebfc856,exact,direct_marketplace_id,695832,Sword of War and Peace,nonfoil,77cb27ac-0397-48df-b80c-8dc8764c6044,1,,cardmarket_id=695832,https://www.cardmarket.com/en/Magic/Products?idProduct=695832
75eedeb8c5eabee675dff6d1ead2d2914c25b9fb4934ea0e0daf04b929de1943,exact,direct_marketplace_id,16823,Uthden Troll,nonfoil,68c14c36-7ef6-476a-99dd-72f984117e32,1,,cardmarket_id=16823,https://www.cardmarket.com/en/Magic/Products?idProduct=16823
75ef8c7b5359badcaf09174f1946388f0661fd801ef3f1401652c60bcc6b9833,exact,direct_marketplace_id,557082,Ephemerate,foil,f704397a-c180-44ae-9e4e-90180556b87b,1,,cardmarket_id=557082,https://www.cardmarket.com/en/Magic/Products?idProduct=557082&isFoil=Y
75efa2ab8869ec4159ee839a4bdd72d4990ff5f9a4c9c774ae5394404094af56,provider_missing,none,257616,Starlit Angel,nonfoil,,0,CM_ID_NOT_FOUND,,https://www.cardmarket.com/en/Magic/Products?idProduct=257616
75f005f155f3c489c60bf85c2ab48898c286e579edf2eebdddc4c7dfeef492e6,exact,direct_marketplace_id,662228,Reflecting Pool,foil,124f2b48-ee22-4fc9-9493-b05474aabd8a,1,,cardmarket_id=662228,https://www.cardmarket.com/en/Magic/Products?idProduct=662228&isFoil=Y
75f929d082973516103b65744d2031bddef6f4dae250b197c213361b9e6a17c8,exact,direct_marketplace_id,5173,Sunglasses of Urza,nonfoil,b894acd5-818b-4ac5-bbf8-47db2ed9a825,1,,cardmarket_id=5173,https://www.cardmarket.com/en/Magic/Products?idProduct=5173
760925342213baf99096a063fb0d37abe6852da1bef730c9ce70e9be5f9bd196,exact,direct_marketplace_id,13720,Skred,foil,b3d6d42a-7607-4361-acc4-7f3cb956bfc9,1,,cardmarket_id=13720,https://www.cardmarket.com/en/Magic/Products?idProduct=13720&isFoil=Y
760ca918a77aa70010ae4fd31fefffa12b4e0ffa8dc47a6e323342896223363a,exact,direct_marketplace_id,11760,Parallax Tide,nonfoil,7fe593eb-df3c-43e5-97a6-418f91e87cb3,1,,cardmarket_id=11760,https://www.cardmarket.com/en/Magic/Products?idProduct=11760
76195908e8b782dfb3dd795f91aeee13dd3a99d86738149cf4256030265743b4,exact,direct_marketplace_id,3527,"Kangee, Aerie Keeper",foil,3afd7e8e-4fcc-4003-9791-7baf10ef1880,1,,cardmarket_id=3527,https://www.cardmarket.com/en/Magic/Products?idProduct=3527&isFoil=Y
